date,open,high,low,close,volume,dividends,stock_splits,symbol
2020-12-07,129.57443907514966,130.06028685936698,128.84565416046442,129.2447509765625,6634700,0.0,0.0,JNJ
2020-12-08,130.13828258431022,131.99492155297904,129.74787038422744,131.48304748535156,8339800,0.0,0.0,JNJ
2020-12-09,132.5935976594695,133.17488056584492,131.66527129069158,132.82785034179688,8440100,0.0,0.0,JNJ
2020-12-10,132.58490971440972,132.72371384340425,131.59584590082466,132.0903778076172,7392900,0.0,0.0,JNJ
2020-12-11,131.46573358704293,133.09680481424033,131.2054542918841,132.6977081298828,5977400,0.0,0.0,JNJ
2020-12-14,132.9580285055907,133.1575702902452,129.26210373512706,129.33151245117188,8547300,0.0,0.0,JNJ
2020-12-15,130.13831108106038,130.78900263646568,129.73054331393809,130.63284301757812,7612600,0.0,0.0,JNJ
2020-12-16,130.31181066475918,130.93647554263526,129.7478833458984,129.85198974609375,8486100,0.0,0.0,JNJ
2020-12-17,130.21637437503222,133.51321381861504,130.1035968551461,133.27896118164062,9920300,0.0,0.0,JNJ
2020-12-18,133.30502052589557,134.5630349398195,131.58719832227996,134.0511474609375,17137200,0.0,0.0,JNJ
2020-12-21,131.88218013277768,133.09681250088164,130.18171335113,132.75845336914062,7893400,0.0,0.0,JNJ
2020-12-22,132.22054938841214,133.52193280065381,131.75205718488206,132.49818420410156,4699500,0.0,0.0,JNJ
2020-12-23,132.56758387757333,133.26165763116018,131.7867459404047,131.8214569091797,4607300,0.0,0.0,JNJ
2020-12-24,131.74339483309987,132.77581462199993,131.71736822219066,132.2812957763672,2114900,0.0,0.0,JNJ
2020-12-28,133.01872034500323,133.49588359135876,132.13377606775524,132.9059295654297,3855500,0.0,0.0,JNJ
2020-12-29,133.70410645249638,134.4155223630291,133.43515605076985,133.73013305664062,5212000,0.0,0.0,JNJ
2020-12-30,134.25069831662515,135.67354344705828,134.1292364117719,135.38723754882812,5412800,0.0,0.0,JNJ
2020-12-31,135.80371222889488,136.78409208655455,134.57173737292553,136.54116821289062,5099900,0.0,0.0,JNJ
2021-01-04,136.41966941174917,136.5411313157588,133.7214676799199,135.77764892578125,11765900,0.0,0.0,JNJ
2021-01-05,135.56072063906902,137.73836328960843,134.53697243121155,137.3739776611328,9602300,0.0,0.0,JNJ
2021-01-06,136.41963572326662,139.0137171550896,135.96848594620337,138.66668701171875,8230100,0.0,0.0,JNJ
2021-01-07,137.9466006115314,139.70780457913872,137.38267326286308,139.13519287109375,7747200,0.0,0.0,JNJ
2021-01-08,139.256675270892,139.76856273046937,138.71010332210952,138.84890747070312,8228900,0.0,0.0,JNJ
2021-01-11,139.3000566995804,139.95943266528548,137.74707856030776,138.2676239013672,7066200,0.0,0.0,JNJ
2021-01-12,138.07673390549323,138.5192126073348,136.49772938293012,137.19180297851562,6903200,0.0,0.0,JNJ
2021-01-13,137.27857382021193,137.47812877830268,135.99454608702274,136.9835968017578,6643100,0.0,0.0,JNJ
2021-01-14,139.2046129486074,140.50599607976613,138.47584157236344,139.3781280517578,10030800,0.0,0.0,JNJ
2021-01-15,139.07447814941406,140.0375021836702,138.04204542711608,139.07447814941406,7630800,0.0,0.0,JNJ
2021-01-19,140.5493713412605,141.45165777684753,139.76854679581697,141.22608947753906,9057600,0.0,0.0,JNJ
2021-01-20,141.5904900313431,142.40602562446927,140.3758710022326,140.8790740966797,6839900,0.0,0.0,JNJ
2021-01-21,139.95943840628414,140.96583140228879,138.8662679923448,140.3151397705078,6818000,0.0,0.0,JNJ
2021-01-22,140.86171699819423,143.2909682669063,140.43659372370445,141.89414978027344,8137000,0.0,0.0,JNJ
